Relative Pressure (P/Po),Quantity Adsorbed (cm3/g STP)
4.60E-07,40.06186295
8.08E-07,80.40715936
1.24E-06,120.8097336
1.95E-06,161.3460092
3.47E-06,201.4186107
1.98E-05,241.9793596
3.01E-05,257.697
3.99E-05,270.301
4.84E-05,281.8550071
6.00E-05,300.578
7.19E-05,321.8117739
8.00E-05,339.075
9.10E-05,361.5510275
0.000122165,401.2719509
0.000169951,423.878
0.000240034,439.549657
0.000469896,457.443
0.001029937,475.0507559
0.002010342,481.6390481
0.003045762,484.9876467
0.003948507,486.9340706
0.004830186,488.3833787
0.005912671,489.8094474
0.006904737,490.8941138
0.007945685,491.8795911
0.00893684,492.6972251
0.009950202,493.4741628
0.019566394,498.4828822
0.02937333,502.4082273
0.039573751,506.352
0.053048755,511.8145244
0.059782481,514.5007384
0.070285857,517.3954348
0.080382115,519.604168
0.090693352,521.5793996
0.100863524,523.3254969
0.145578459,529.4637135
0.201715088,534.8547171
0.255897983,538.7842733
0.306354706,541.7426068
0.355727318,543.8828281
0.400710563,545.9070195
0.450996492,547.9057582
0.500912037,549.683466
0.550729386,551.2724846
0.600539736,552.7229327
0.650423732,554.0803225
0.699409212,555.2877813
0.749430462,556.4414975
0.799589806,557.5578465
0.810603847,557.9681384
0.820750466,558.1916045
0.830251162,558.3961332
0.840610582,558.6052623
0.850090332,558.7827406
0.860139894,558.974154
0.870536548,559.1847791
0.880439116,559.3871176
0.890351942,559.5642263
0.900085449,559.7489427
0.909885718,559.9556701
0.920408124,560.1630803
0.930173819,560.3670544
0.940068359,560.5599266
0.949686839,560.7910402
0.959833706,561.0127159
0.969298233,561.251679
0.979271939,561.5379374
0.989260685,561.8386872
0.998416184,562.4489275
