Relative Pressure (P/Po),Quantity Adsorbed (cm3/g STP)
4.20E-05,1.53E+01
9.97E-05,3.06E+01
0.000148121,4.58E+01
0.000188506,6.11E+01
0.000224278,7.64E+01
0.000259844,9.18E+01
0.000299953,1.07E+02
0.000349057,1.22E+02
0.000417927,1.38E+02
0.000521085,1.53E+02
0.000684773,1.68E+02
0.000949862,1.83E+02
0.001422718,1.98E+02
0.00193056,2.07E+02
0.002936687,2.17E+02
0.003871099,2.22E+02
0.004945074,2.27E+02
0.005730774,2.30E+02
0.006698907,2.35E+02
0.008054492,2.43E+02
0.008892109,2.47E+02
0.009781263,2.50E+02
0.02074716,2.68E+02
0.029110932,2.74E+02
0.038163686,3.01E+02
0.04836001,3.11E+02
0.063774299,3.16E+02
0.069776865,3.17E+02
0.08004303,3.19E+02
0.090083618,3.20E+02
0.10043044,3.22E+02
0.145027143,3.26E+02
0.202710154,3.30E+02
0.254860289,3.33E+02
0.305344376,3.36E+02
0.354387044,3.38E+02
0.399269895,3.40E+02
0.449413315,3.42E+02
0.499421734,3.44E+02
0.549130569,3.46E+02
0.599553456,3.48E+02
0.648965909,3.50E+02
0.699055532,3.52E+02
0.748964062,3.54E+02
0.7992439,3.57E+02
0.809235821,3.58E+02
0.819317209,3.58E+02
0.829266798,3.59E+02
0.839403863,3.60E+02
0.850174553,3.61E+02
0.859575733,3.62E+02
0.869079932,3.63E+02
0.879065428,3.64E+02
0.889536882,3.65E+02
0.899627608,3.67E+02
0.90986306,3.68E+02
0.919854649,3.70E+02
0.929147394,3.72E+02
0.939055955,3.75E+02
0.948884511,3.78E+02
0.959088154,3.83E+02
0.969051619,3.89E+02
0.978076108,3.98E+02
0.986984423,4.13E+02
0.994455819,4.40E+02
