Relative Pressure (P/Po),Quantity Adsorbed (cm3/g STP)
0.003831,196.3288
0.004887863,208.56
0.005746,224.1544
0.006480225,248.32
0.006637632,254.88
0.007204856,275.68
0.007662,284.4448
0.009205078,291.28
0.011492,296.8112
0.013393309,302.32
0.018536751,315.84
0.02107,321.5456
0.028731,335.4592
0.049801,358.6472
0.066803487,370.4
0.080447,378.744
0.099601,391.1112
0.109178,395.7488
0.120671,403.4784
0.133720965,412.4
0.147487,422.0288
0.160894,431.304
0.168556,437.488
0.178132,445.2176
0.18771,452.9472
0.197287,466.86
0.199488238,480.16
0.201118,491.5944
0.204948,514.7824
0.206864,528.696
0.208461689,542.56
0.210695,554.976
0.224103,559.6136
0.268157,565.7968
0.298803,567.3432
0.33328,570.4344
0.358181,573.5264
0.402235,576.6184
0.45012,579.7104
0.503751,581.256
0.530567,582.8016
0.555468,584.348
0.603353,584.348
0.655069,587.44
0.704869,588.9856
0.735516,590.5312
0.760417,590.5312
0.806386,593.6232
0.856187,593.6232
0.904072,596.7152
0.940464,598.2608
0.999842,605.9904
