Relative Pressure (P/Po),Quantity Adsorbed (cm3/g STP)
1.23E-07,3.142760121
2.48E-07,6.296564943
3.50E-07,9.447805846
5.48E-07,12.60732105
7.55E-07,15.74659995
9.99E-07,18.88073386
1.22E-06,22.04848483
1.47E-06,25.20424996
1.97E-06,28.36415514
2.84E-06,31.52684325
3.85E-06,34.66489909
5.17E-06,37.81765729
6.88E-06,40.96961908
8.83E-06,44.12400816
1.14E-05,47.29389315
1.44E-05,50.45565191
1.78E-05,53.60069959
2.15E-05,56.76443333
2.54E-05,59.93170438
2.91E-05,63.0735967
3.30E-05,66.24401953
3.67E-05,69.38728558
4.04E-05,72.55669964
4.40E-05,75.73433833
4.76E-05,78.90955853
5.12E-05,82.0852723
5.48E-05,85.25374379
5.86E-05,88.43672411
6.25E-05,91.58982695
6.65E-05,94.74970995
7.07E-05,97.91360825
7.53E-05,101.0817044
7.99E-05,104.2322241
8.49E-05,107.4073391
9.02E-05,110.5628778
9.59E-05,113.7252009
0.000101866,116.8845756
0.00010843,120.0367977
0.000115669,123.2094924
0.000123923,126.3719258
0.000132532,129.5547695
0.000142085,132.7146086
0.000152225,135.8739653
0.000163528,139.0243723
0.000175053,142.1804654
0.000188404,145.3425539
0.000203102,148.4985339
0.000219533,151.6557335
0.000237273,154.8100358
0.000256856,157.972146
0.000278382,161.1313351
0.000302122,164.2852054
0.000328336,167.4578355
0.000357464,170.6103674
0.000389421,173.7595255
0.000425039,176.9146791
0.00046396,180.048219
0.000507494,183.1848553
0.000555773,186.3253743
0.000609421,189.462201
0.000668535,192.5758163
0.000733715,195.667161
0.000805316,198.7437351
0.0008836,201.8049198
0.000969555,204.8398036
0.001180284,210.75
0.001369924,215.625
0.001659897,222.125
0.001983868,228.3032821
0.002481232,236
0.0029778,242.4444504
0.003900276,252.6075378
0.004901601,261.8503001
0.005748579,268.6933111
0.006815202,276.1931131
0.007932263,283.0890841
0.008908562,288.4916206
0.009924807,293.678959
0.012216106,302.5
0.015344472,312.875
0.020657011,325.2651245
0.029153998,334.583394
0.043038331,343.1148494
0.05607993,348.0980768
0.060133027,349.3483991
0.070310191,352.0198488
0.080444318,354.2471061
0.090170995,356.0893089
0.100546237,357.8060043
0.110563966,359.307866
0.120602203,360.6476764
0.130585935,361.8763565
0.140095215,362.9875
0.150374866,364.0795596
0.160507882,365.0639089
0.170667982,366.0060785
0.179965883,366.8584343
0.190645793,367.7608779
0.200301599,368.5319936
0.210335014,369.2982369
0.220487623,370.0384164
0.230573416,370.7327385
0.240846958,371.4426764
0.25056775,372.0812803
0.260794834,372.7278496
0.269580715,373.2950695
0.280301794,373.9180689
0.290696258,374.5154599
0.300168734,374.9998164
0.319236927,376.0546944
0.340946451,377.1784724
0.360937434,378.1712
0.38070078,379.1200366
0.401083839,380.0829121
0.421098485,380.9933728
0.440714586,381.885381
0.460879323,382.7836501
0.479423448,383.6578929
0.500683264,384.5944393
0.519294854,385.4664838
0.540988798,386.3913566
0.559146623,387.2579126
0.580857521,388.221842
0.600769168,389.1256365
0.620648506,390.0253389
0.640945441,390.9791344
0.660586966,391.9211486
0.680476479,392.9466445
0.69949284,394.038108
0.719410474,395.2386661
0.739506409,396.4886886
0.759642624,397.8760761
0.779642839,399.3503699
0.799644973,400.9520839
0.809048329,401.8339331
0.820769307,402.8917924
0.829732712,403.8215323
0.83925335,404.8940849
0.850505865,406.1427024
0.860630845,407.4695841
0.869346002,408.6821508
0.880763469,410.3631575
0.889852706,411.8753025
0.90087879,413.9068596
0.909388657,415.7272441
0.919315551,418.1223844
0.929206017,420.9714205
0.93917914,424.5271966
0.949129528,429.1582403
0.986264135,505.2828228
0.989723137,549.1882545
0.992201704,627.4657603
