Relative Pressure (P/Po),Quantity Adsorbed (cm3/g STP)
6.51E-05,0.244097298
9.45E-05,0.478994984
0.000140029,0.821923773
0.000168502,1.582549835
0.000212523,4.163576053
0.000256869,31.45462189
0.000285953,58.7555432
0.000318927,86.04420846
0.00032856,87.11322766
0.000397185,92.47688086
0.000427058,119.7915532
0.000458442,147.0352982
0.000511064,174.2450143
0.000580619,199.0276256
0.000637337,213.9146291
0.000890495,240.8980103
0.001019138,250.0629989
0.001355172,261.0381578
0.001632038,267.5240611
0.002111946,274.4808893
0.002599008,279.4665767
0.003298337,285.0490712
0.004368838,290.6676563
0.005230467,294.1224215
0.006777789,298.7394714
0.008474152,302.6402394
0.010761704,306.8665724
0.014077117,311.1774693
0.017025411,314.2078276
0.022138234,318.2523493
0.027920961,321.7979181
0.035532871,325.3103813
0.044729196,328.5922796
0.056862545,331.9690122
0.074640451,335.6330672
0.094446941,338.7782368
0.119931747,341.9418727
0.149860444,344.9109548
0.188606945,348.0485
0.237609088,351.3232413
0.30241524,355.1594238
0.375744873,359.345305
0.474393139,365.4577486
0.538919084,370.3752087
0.602620402,376.2995244
0.64403838,381.0560855
0.684098233,386.4493319
0.723912436,392.6973438
0.763564176,400.1205563
0.790607423,405.9340528
0.815628686,411.9895879
0.840576799,418.9115166
0.865722821,427.0808219
0.91707011,453.0365971
0.940410038,474.6015151
0.961980007,504.7291291
0.97070987,522.702578
