Relative Pressure (P/Po),Quantity Adsorbed (cm3/g STP)
2.00E-05,1.523667289
5.79E-05,1.910709418
9.07E-05,2.667066591
9.97E-05,4.411116039
0.000120002,11.33834586
0.000135878,19.37058398
0.000149981,30.32330827
0.000153726,34.34441162
0.000162203,48.21232431
0.000169951,56.78195489
0.00017989,63.17620195
0.000206222,66.24293658
0.000247599,67.98085395
0.000279922,73.98496241
0.00030673,82.94194541
0.000320061,88.87218045
0.000331941,97.87234128
0.000340176,112.7144211
0.000410145,122.3308271
0.000537827,127.2805924
0.000900104,132.2556391
0.001686888,136.6481811
0.00209589,137.7226138
0.002623178,138.7718093
0.003299735,139.7860821
0.004185916,140.757888
0.005255232,141.6211192
0.006657108,142.4747185
0.008491008,143.3197405
0.01080895,144.1168277
0.013672316,144.858557
0.017379148,145.586695
0.022120016,146.2750153
0.027972214,146.9178073
0.035502441,147.5650766
0.04518963,148.1857732
0.057104756,148.7633086
0.073503814,149.3695942
0.092897268,149.9112649
0.117365134,150.427134
0.148033492,150.9155795
0.186991608,151.3851698
0.236269718,151.819262
0.298618506,152.2204062
0.376375557,152.5682054
0.475676689,152.8636807
0.5396658,153.0233363
0.603274987,153.1527107
0.644041058,153.2393741
0.684269297,153.3224531
0.724374314,153.4045868
0.764422491,153.4983629
0.790647003,153.5687676
0.815998166,153.6567925
0.841457924,153.7411341
0.866631605,153.8474077
0.915618717,154.1597953
0.942539338,154.5185607
0.967868769,155.1607018
