Relative Pressure (P/Po),Quantity Adsorbed (cm3/g STP)
3.41E-05,2.14378502
5.85E-05,2.669857343
8.29E-05,7.507259319
0.000106975,23.42002438
0.000125602,39.3334655
0.000144069,55.24425972
0.000163778,71.1472055
0.000187348,87.04430696
0.000208741,94.11477296
0.00026291,98.70538152
0.00032538,114.6038961
0.000393299,130.4439634
0.00040154,132.9193061
0.000460131,142.16
0.000541423,148.6926191
0.000650309,150.7406132
0.000858217,155.5594558
0.001130007,160.840349
0.001352074,163.6361002
0.001629688,166.2868698
0.002048444,169.4804783
0.002672633,173.0846129
0.00340465,175.8848851
0.004236093,177.8954483
0.005229068,179.5788254
0.006804549,181.6154665
0.008670638,183.2738433
0.010602531,184.528
0.013560594,185.9939677
0.017513597,187.4027707
0.02198175,188.5551902
0.027797594,189.7155157
0.035558333,190.9130923
0.045087695,192.0513518
0.057084319,193.1854014
0.073852847,194.384
0.093504522,195.5346852
0.117917986,196.6794937
0.148441409,197.8777293
0.187453493,199.1532438
0.236737861,200.5387386
0.30102165,202.0609612
0.376151248,203.6569122
0.475697694,205.5765077
0.539978839,206.6479871
0.603025345,207.6607223
0.644358128,208.2326919
0.684218752,208.7416515
0.72439712,209.230106
0.764352288,209.7724194
0.790607354,210.1435558
0.81598638,210.5235749
0.841261992,210.9798625
0.866822335,211.4878914
0.914684081,212.8
0.942892019,213.872277
0.967733315,215.3273142
