Relative Pressure (P/Po),Quantity Adsorbed (cm3/g STP)
8.48E-07,13.29040177
2.29E-06,26.70972869
5.69E-06,40.06699962
1.04E-05,53.42636713
2.12E-05,66.77657461
4.17E-05,80.11738381
8.81E-05,93.44550612
0.00019284,106.7298099
0.000441225,119.9631437
0.000989339,132.6417059
0.001921761,143.4976721
0.00291461,150.6507139
0.003944906,155.9844342
0.004813169,159.4888886
0.00594435,163.2400191
0.006835363,165.7310707
0.007914356,168.3722984
0.008883336,170.5070632
0.009932936,172.601141
0.01909818,187.1464395
0.029132958,199.9463405
0.038429457,211.0967042
0.050828881,221.57236
0.057356098,225.5856936
0.069821708,231.4259277
0.0802729,235.0031263
0.090591613,237.5927806
0.100871653,239.6029788
0.145607594,245.3384178
0.204338998,249.8073358
0.256823283,252.7702693
0.307448459,255.2244898
0.355311849,257.3290893
0.400438035,259.1791185
0.450466992,261.1137044
0.500562855,262.9897007
0.550628559,264.8472954
0.600467466,266.758888
0.650693889,268.7848755
0.70078011,271.0203273
0.749541023,273.4773908
0.799036389,276.5212397
0.809765349,277.4144588
0.820897926,278.2621114
0.830182771,279.0471319
0.840517528,279.9543144
0.850135475,280.8616995
0.860012207,281.8812452
0.870324132,283.0364199
0.880063477,284.2630759
0.890036621,285.6627303
0.899697316,287.2217373
0.910224633,289.1432935
0.920571549,291.3266086
0.929731796,293.7978375
0.939225811,296.833339
0.948782819,300.9213948
0.95900507,306.7778016
0.968527785,315.0366656
0.97741276,328.0692319
0.986178212,349.1412898
0.992911451,378.2020403
