Relative Pressure (P/Po),Quantity Adsorbed (cm3/g STP)
4.88E-05,1.294999015
0.000103039,2.385044241
0.000152256,2.694643318
0.000192992,3.376273101
0.000227689,3.938778566
0.000262075,4.756657701
0.000339317,22.31769813
0.000410328,47.09897874
0.000436056,55.59976466
0.000530897,80.36643903
0.00068157,104.3921808
0.000825555,114.7955177
0.001018034,123.3473986
0.001387476,140.7568208
0.001754256,155.4851546
0.002082039,167.9207478
0.002634584,192.6417811
0.003096,217.4073648
0.003421564,238.3655703
0.00373714,263.0990284
0.003990249,287.8289691
0.004203087,312.5307641
0.004384442,337.2334644
0.004550507,361.9040376
0.004701429,386.5863238
0.004831217,411.2722234
0.004959268,435.9053593
0.005083147,460.5618309
0.005198735,485.2063764
0.005324749,509.7942314
0.005452929,534.4253503
0.005573198,559.0301633
0.005699939,583.6809986
0.005873153,608.2555456
0.006055369,633.0478073
0.006277627,657.6048821
0.006538265,682.2141614
0.006870036,706.7549115
0.007278209,731.3294996
0.007840088,755.7527181
0.008534543,779.804387
0.009537856,803.9979501
0.01071683,824.8712211
0.012716909,849.1460631
0.013356843,854.7648201
0.016783566,878.9450993
0.017190992,880.7957329
0.021664124,899.7009728
0.029557787,920.7248229
0.037496831,934.1089199
0.043815956,941.9330119
0.056354812,953.7819133
0.075000773,965.9559863
0.094622889,975.0367871
0.12134011,984.1824194
0.148705066,991.5299436
0.186663973,999.9997424
0.233461347,1009.404325
0.292643557,1020.292587
0.376872515,1032.244226
0.477271717,1039.103232
0.557467879,1041.126529
0.622324826,1041.646574
0.663688643,1041.533153
0.703952672,1041.24181
0.744084723,1040.864057
0.784234934,1040.389575
0.810369834,1039.935968
0.835704039,1039.588486
0.86122081,1039.137748
0.886535362,1038.710799
0.936028809,1037.903116
0.962543788,1037.524927
0.987971674,1037.368951
