Relative Pressure (P/Po),Quantity Adsorbed (cm3/g STP)
4.75E-05,0.399389287
9.69E-05,0.790257854
0.000123181,0.849466894
0.000128577,0.901645765
0.000164533,1.305371963
0.000217301,8.215063317
0.000257214,21.87383863
0.000279122,35.53424556
0.000300744,49.19146475
0.000322968,62.84835569
0.000351409,76.97418727
0.000368692,90.62885298
0.000383691,104.2835472
0.000393716,117.9386696
0.000410668,131.5921497
0.000431396,145.2497382
0.000433515,158.9070628
0.000434096,172.560386
0.00044681,186.2098023
0.000448218,213.5187115
0.000460131,291.125
0.000469896,332.636
0.000479868,361.132
0.000495921,402.2174135
0.000505841,428.2659882
0.000522755,441.9053293
0.000561279,455.535353
0.000612371,481.5224045
0.000762905,495.1137394
0.001046492,508.6671464
0.001338775,516.079
0.001690835,522.2059178
0.002200656,528.546
0.002830961,535.5588205
0.003348623,542.7948734
0.003953084,556.2913563
0.004340588,569.2665484
0.005364889,582.4485037
0.006599917,590.0449186
0.008409006,596.1479113
0.010647117,600.5395
0.01347842,603.8734945
0.017400821,606.6915164
0.022037446,608.7543474
0.028872495,610.6197663
0.037948501,612.1218028
0.043221172,612.7275766
0.056330468,613.7619235
0.075704826,614.6803966
0.096747454,615.3003535
0.12106687,615.7739
0.148103775,616.1330217
0.182104311,616.4519037
0.230197892,616.7748324
0.294028489,617.0968906
0.376152789,617.4177762
0.475149693,617.8111925
0.539634859,618.1452111
0.602891293,618.6157074
0.644112905,619.0671564
0.683964225,619.6972279
0.723676637,620.6301838
0.762441498,622.1524403
0.789400207,623.877045
0.815016979,626.201114
0.840145607,629.2101105
0.86521186,632.9816387
0.93003418,640.2415635
0.958849806,640.8669497
0.98337829,641.6367995
