Relative Pressure (P/Po),Quantity Adsorbed (cm3/g STP)
9.79E-03,106.6543596
1.30E-02,110.7518797
0.016992215,115.7142857
0.021993683,121.5789474
0.02998674,130
0.039658038,138.1866871
0.056022606,148.1954887
0.071295439,155.5565718
0.104927504,169.2569124
0.129699104,177.9066414
0.159960572,187.5754183
0.191745691,197.2381444
0.222604245,206.6182286
0.252936316,216.3329082
0.284027412,228.2055505
0.305135298,240.8270677
0.316012885,251.0851288
0.333871196,295.2631579
0.343960535,316.3706805
0.372991369,345.037594
0.42755174,371.1869332
0.447576408,372.2486947
0.476895088,373.6655289
0.499735922,374.6550827
0.529857594,375.855921
0.560582034,376.9806062
0.591212993,378.0270972
0.621878896,379.0467692
0.652784998,380.0090208
0.683268469,380.9344087
0.713947513,381.8482999
0.744563968,382.771538
0.775127231,383.7223489
0.806787691,384.7129587
0.836549791,385.6941347
0.867018855,386.7975482
0.897225551,388.200847
0.937868963,391.637787
