Relative Pressure (P/Po),Quantity Adsorbed (cm3/g STP)
0.001665872,157.5852386
0.00194442,163.6768877
0.002868962,180.6276218
0.003965587,196.4248668
0.004867865,207.3994302
0.005726495,216.4750568
0.006790925,226.3663266
0.007894831,235.4188708
0.008900371,242.7219435
0.009887064,249.2267747
0.011998184,260.56
0.013995772,270.16
0.019197382,291.4243501
0.023006005,304.4
0.028849446,321.6037058
0.038241534,345.6440139
0.0500177,372.0364485
0.057059164,386.4342179
0.069001998,409.054521
0.07905353,426.5785595
0.088927524,442.8091644
0.098902977,458.1509498
0.117842895,485.0000943
0.137931437,510.9622822
0.158643117,536.0619108
0.178416291,560.0022746
0.197220756,584.6447682
0.214357902,619.1869034
0.224922361,714.24
0.235340888,799.4611582
0.268274737,833.8232192
0.295846618,848.1218496
0.326118904,862.9506968
0.342338021,870.0049088
0.360029297,876.912
0.380357356,884.4248368
0.399925353,891.29732
0.448298456,907.8737392
0.500040283,924.8759912
0.549395048,941.0098664
0.599734426,957.8617912
0.64932966,975.2547784
0.699352169,994.0791416
0.74962873,1015.80987
0.798779288,1041.151827
0.847691866,1075.890702
0.896305484,1130.838152
0.946154066,1251.211382
0.998120009,1851.14801
