Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
0.001034,134.1013605
0.001108417,135.7307112
0.00118819,137.470837
0.001273703,139.3278863
0.001365372,141.3079798
0.001463638,143.4170918
0.001568975,145.6608957
0.001681894,148.0445639
0.00180294,150.5725093
0.001932698,153.2480567
0.002071794,156.0730241
0.002220901,159.0471929
0.002380739,162.1676401
0.00255208,165.4278994
0.002735753,168.8169077
0.002932645,172.3176888
0.003143708,175.9057085
0.00336996,179.5468239
0.003612496,183.1947309
0.003872487,186.7877893
0.004151189,190.2450792
0.00444995,193.4615067
0.004770213,196.301735
0.005113525,198.7018493
0.005481545,201.0123029
0.005876051,203.2670712
0.00629895,205.4520335
0.006752285,207.5558739
0.007238246,209.5720875
0.007759182,211.5016883
0.00831761,213.3568149
0.008916228,215.1654888
0.009557928,216.9742973
0.010245811,218.7909778
0.010983202,220.6038286
0.011773662,222.4071392
0.012621011,224.1973693
0.013529344,225.9744771
0.01450305,227.7436993
0.015546834,229.5179114
0.016665738,231.3207308
0.01786517,233.1905637
0.019150925,235.1705763
0.020529216,237.193386
0.022006702,239.2393222
0.023590522,241.3122266
0.02528833,243.4212793
0.02710833,245.583237
0.029059314,247.8253626
0.031150711,250.174635
0.033392625,252.4531235
0.03579589,254.7338231
0.038372117,257.2807845
0.041133755,260.4625937
0.044094149,264.315351
0.047267601,269.0531263
0.050669447,275.2508592
0.054316123,282.9963249
0.05822525,288.5521176
0.062415717,293.1407918
0.066907771,296.6769739
0.071723119,299.3787202
0.076885026,302.9235756
0.082418435,307.0987093
0.088350084,311.9713314
0.094708633,317.3102316
0.101524806,321.5097085
0.108831538,326.303658
0.116664136,334.1219923
0.125060445,344.3472722
0.134061035,356.084191
0.143709398,360.9755059
0.154052152,362.6944563
0.165139274,364.8537155
0.177024334,367.745701
0.189764762,368.082243
0.203422118,369.8081145
0.218062392,369.9217933
0.233756326,371.3541731
0.25057975,373.3699567
0.268613956,373.8006735
0.287946082,375.2222029
0.308669539,375.8974418
0.330884462,376.5353557
0.354698192,377.9069448
0.380225793,378.6800128
0.407590615,379.820503
0.43692488,380.6966443
0.46837033,381.0418751
0.502078907,382.4051416
0.538213488,383.6448468
0.576948671,384.0308118
0.618471623,384.9015199
0.662982978,385.4716754
0.710697812,386.7294633
0.76184668,388.4204996
0.816676727,388.7701606
0.875452888,389.4440714
0.938459166,391.1166327
