Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
0.002546,117.283234
0.005092,327.13408
0.006288706,358.803
0.007638,382.70539
0.009022805,404.698
0.010183,419.76389
0.012729,444.48006
0.015275,469.19486
0.017821,475.39685
0.020367,518.62583
0.022913,543.342
0.025459,561.88632
0.028004,605.1153
0.03055,629.83147
0.033096,642.20531
0.035642,654.57778
0.038188,673.12347
0.040734,691.66779
0.045825,716.4141
0.050917,765.84507
0.053463,784.38939
0.056009,796.76323
0.058555,821.4794
0.0611,877.05071
0.063646,914.10921
0.066192,926.48168
0.068738,969.71066
0.071284,1000.59868
0.07383,1031.48533
0.076376,1111.7413
0.078921,1136.45747
0.081467,1167.34412
0.084013,1222.91543
0.086559,1241.45975
0.091651,1290.89072
0.094197,1315.60689
0.096742,1340.32306
0.099288,1358.86738
0.101835,1371.2467
0.10438,1389.7828
0.106926,1408.3326
0.112018,1426.9098
0.114563,1451.6246
0.119655,1488.7105
0.122201,1494.9166
0.124747,1513.4527
0.127293,1532.0025
0.129839,1544.3736
0.132384,1556.7447
0.13493,1581.4595
0.137476,1600.0093
0.142568,1618.5865
0.145114,1630.9576
0.150205,1649.5348
0.152751,1655.7409
0.155297,1674.277
0.160388,1686.6892
0.162935,1705.2253
0.165481,1717.5964
0.168026,1729.9812
0.173118,1760.8884
0.175664,1773.2595
0.178209,1791.8093
0.180756,1810.3591
0.183302,1828.8952
0.185847,1847.445
0.188394,1866.0222
0.190939,1878.3248
0.193485,1933.9331
0.19603,1989.5003
0.198577,2088.2773
0.201122,2112.9921
0.203668,2143.8719
0.206215,2162.4217
0.20876,2180.9715
0.211306,2205.6863
0.213851,2230.4011
0.216398,2248.9372
0.218943,2261.322
0.224036,2279.8855
0.226581,2292.2703
0.231673,2329.3562
0.234219,2347.8923
0.23931,2360.3045
0.241856,2366.5106
0.25204,2378.9776
0.259677,2385.2385
0.264769,2397.637
0.269861,2403.8705
0.272406,2403.8979
0.277498,2410.1314
0.282589,2416.3649
0.285136,2416.406
0.290227,2416.4608
0.297865,2422.7217
0.30041,2428.9278
0.308048,2429.0237
0.310595,2435.2298
0.315686,2435.2846
0.320778,2441.5181
0.325869,2441.5866
0.330961,2441.6414
0.34369,2447.9708
0.351328,2454.2317
0.35642,2454.3002
0.364057,2460.5611
0.369149,2460.6159
0.376786,2460.7118
0.381878,2466.9453
0.38697,2467.0138
0.402245,2467.1919
0.407337,2467.2604
0.412428,2467.3152
0.425158,2467.4796
0.432796,2473.7405
0.440432,2473.8364
0.455708,2480.1932
0.465891,2480.3165
0.488804,2486.7692
0.501533,2493.0849
0.511717,2493.2219
0.516808,2493.2767
0.524446,2499.5376
0.529538,2499.6061
0.537176,2499.702
0.542267,2499.7568
0.549905,2499.8527
0.560088,2499.976
0.570271,2500.0993
0.580454,2506.4013
0.593184,2512.717
0.600822,2512.8129
0.611005,2512.9362
0.623734,2513.0869
0.631372,2519.3615
0.636464,2519.4163
0.654285,2525.8142
0.661922,2525.8964
0.672106,2526.0197
0.687381,2526.2115
0.689927,2526.2389
0.702655,2532.5683
0.710293,2532.6642
0.715385,2532.719
0.733206,2532.9382
0.735752,2532.9656
0.745935,2533.0889
0.753573,2533.1848
0.763756,2533.3081
0.768848,2533.3766
0.77394,2539.6101
0.779031,2539.6649
0.784123,2539.7334
0.796852,2539.8841
0.81722,2540.1307
0.832494,2546.4875
0.840132,2546.5834
0.847769,2546.6793
0.863045,2553.0361
0.868136,2553.0909
0.87832,2553.2279
0.885957,2553.3101
0.903778,2553.5293
0.957242,2560.3519
0.964878,2560.4478
0.987791,2566.9005
0.992883,2573.134
