Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
0.000145,31.89924812
0.000228,50.12736842
0.000249,54.68443609
0.00029,63.79849624
0.000311,68.35548872
0.000353,77.46992481
0.000436,95.69774436
0.003921,109.3992481
0.004004,127.6278195
0.004149,159.5270677
0.004232,177.7548872
0.004315,195.9834586
0.00778,205.1278195
0.007842,218.7992481
0.011307,227.9443609
0.014793,241.6458647
0.01832,264.4616541
0.021785,273.6067669
0.02527,287.3082707
0.028735,296.4533835
0.03222,310.1556391
0.035706,323.8571429
0.039171,333.0022556
0.042615,337.5902256
0.0461,351.2917293
0.049565,360.4368421
0.05303,369.581203
0.053071,378.6954887
0.056536,387.8406015
0.05998,392.4285714
0.066868,401.6037594
0.070333,410.7488722
0.077242,424.481203
0.080686,429.0691729
0.084171,442.7714286
0.087615,447.3593985
0.091101,461.0609023
0.09803,479.3503759
0.104939,493.0834586
0.115333,520.5180451
0.129089,534.3120301
0.132595,552.5714286
0.139525,570.8609023
0.149878,589.181203
0.16023,607.5015038
0.17743,625.8842105
0.191247,653.3496241
0.205003,667.143609
0.215335,680.9067669
0.222223,690.0827068
0.225709,703.7842105
0.232617,717.5172932
0.236144,740.3330827
0.239651,758.593985
0.239734,776.8195489
0.239816,795.0451128
0.243302,808.7518797
0.243406,831.5338346
0.246892,845.2406015
0.257285,872.6691729
0.264153,877.2932331
0.274485,891.0526316
0.281332,891.112782
0.284796,900.2631579
0.295108,909.4661654
0.305419,918.6766917
0.319153,927.9097744
0.329486,941.6766917
0.346644,950.9398496
0.356935,955.593985
0.367225,960.2406015
0.387806,969.5413534
0.40152,974.2180451
0.415234,978.9022556
0.425503,978.9924812
0.44264,983.7067669
0.463201,988.443609
0.483762,993.1879699
0.497475,997.8646617
0.518015,998.0526316
0.538596,1007.353383
0.548866,1007.443609
0.559136,1007.533835
0.565982,1007.593985
0.583119,1012.308271
0.596813,1012.428571
0.631066,1017.293233
0.65505,1022.067669
0.692727,1026.962406
0.713267,1027.150376
0.73723,1027.368421
0.764616,1027.609023
0.764637,1032.165414
0.792043,1036.969925
0.81943,1037.218045
0.822875,1041.804511
0.857107,1042.112782
0.891381,1051.533835
0.915344,1051.75188
0.918788,1056.338346
0.956444,1056.676692
0.966735,1061.323308
0.966756,1065.887218
0.980469,1070.56391
0.990781,1079.766917
0.994225,1084.360902
