Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
0.002879,96.1832
0.005757,138.9144
0.010075,177.3544
0.018711,209.3352
0.023028,224.256
0.035982,245.5
0.047496,258.2072
0.066207,277.2528
0.087796,296.2672
0.094992,304.744
0.109385,315.2824
0.126656,332.2048
0.149684,349.0664
0.168395,363.836
0.188546,378.5896
0.208695,395.4816
0.228845,412.3736
0.246116,425.02
0.269145,444.02
0.289294,463.0504
0.303687,488.5552
0.310883,494.8936
0.318079,503.3704
0.322398,509.7392
0.329594,516.0768
0.331034,520.3384
0.33679,528.8296
0.339669,533.0752
0.345426,543.7056
0.348305,554.3656
0.355501,661.1936
0.356941,667.5928
0.358379,742.4104
0.388605,1073.496
0.394362,1081.984
0.401558,1090.464
0.402997,1116.104
0.418829,1120.216
0.451933,1124.144
0.490793,1128.008
0.51814,1131.992
0.567074,1135.752
0.611692,1137.424
0.633281,1141.472
0.726835,1142.624
0.752741,1146.624
0.77577,1150.656
0.823266,1152.296
0.860687,1154.04
0.899547,1157.904
